row-number,field,issue-type,value
1,organisation,default,local-authority-eng:ESK
1,entry-date,default,2021-06-23
2,organisation,default,local-authority-eng:ESK
2,entry-date,default,2021-06-23
3,organisation,default,local-authority-eng:ESK
3,entry-date,default,2021-06-23
4,organisation,default,local-authority-eng:ESK
4,entry-date,default,2021-06-23
5,organisation,default,local-authority-eng:ESK
5,entry-date,default,2021-06-23
6,organisation,default,local-authority-eng:ESK
6,entry-date,default,2021-06-23
7,organisation,default,local-authority-eng:ESK
7,entry-date,default,2021-06-23
8,organisation,default,local-authority-eng:ESK
8,entry-date,default,2021-06-23
9,organisation,default,local-authority-eng:ESK
9,entry-date,default,2021-06-23
10,organisation,default,local-authority-eng:ESK
10,entry-date,default,2021-06-23
11,organisation,default,local-authority-eng:ESK
11,entry-date,default,2021-06-23
12,organisation,default,local-authority-eng:ESK
12,entry-date,default,2021-06-23
13,organisation,default,local-authority-eng:ESK
13,entry-date,default,2021-06-23
14,organisation,default,local-authority-eng:ESK
14,entry-date,default,2021-06-23
