categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968340#11968340,,2021-06-23,employment-allocation:SCLP12.20,"MULTIPOLYGON (((1.258005 52.020048,1.255433 52.020836,1.254322 52.021224,1.253846 52.021337,1.252527 52.021729,1.251043 52.022082,1.250601 52.022129,1.249377 52.022356,1.248344 52.022593,1.247588 52.022715,1.247430 52.022786,1.247394 52.022873,1.247317 52.022882,1.247309 52.023083,1.247411 52.023137,1.248123 52.023178,1.248679 52.023251,1.249612 52.023484,1.250605 52.023837,1.252683 52.024734,1.253397 52.024981,1.253773 52.025057,1.254091 52.025078,1.254471 52.025074,1.254703 52.025019,1.255673 52.024697,1.256336 52.024425,1.259008 52.023081,1.258005 52.020048)))",,"Land at Felixstowe Road, Nacton",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-20
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968628#11968628,,2021-06-23,employment-allocation:SCLP12.29,"MULTIPOLYGON (((1.476954 52.212762,1.477024 52.212175,1.476986 52.212134,1.477055 52.211383,1.477337 52.209528,1.475367 52.208781,1.473077 52.210966,1.473434 52.211083,1.474997 52.211772,1.475337 52.211968,1.475673 52.212108,1.476954 52.212762)))",,South Saxmundham Garden Neighbourhood,,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-29
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11963796#11963796,,2021-06-23,employment-allocation:SCLP12.7,"MULTIPOLYGON (((1.329778 51.954637,1.330558 51.954314,1.333956 51.953122,1.331682 51.950571,1.331258 51.950216,1.330682 51.949850,1.330013 51.949521,1.328979 51.949179,1.327884 51.948967,1.326519 51.948814,1.325980 51.948694,1.325663 51.948573,1.325371 51.948408,1.325211 51.948288,1.325001 51.948053,1.324480 51.947117,1.324493 51.946987,1.325780 51.946102,1.329549 51.946868,1.329532 51.946690,1.328978 51.946109,1.328545 51.945306,1.328396 51.945228,1.326887 51.942336,1.325075 51.940419,1.324137 51.940321,1.322781 51.939746,1.321988 51.939447,1.321722 51.939387,1.321535 51.939404,1.321480 51.939380,1.321230 51.939729,1.319816 51.939781,1.319804 51.939806,1.319375 51.939794,1.319400 51.939551,1.319351 51.939259,1.319250 51.939015,1.319119 51.939005,1.319105 51.938939,1.317433 51.938925,1.316753 51.941682,1.315989 51.944339,1.314304 51.947353,1.313701 51.948363,1.312484 51.950625,1.314002 51.950965,1.314861 51.950761,1.315738 51.950978,1.315257 51.951373,1.313214 51.952135,1.313486 51.952400,1.304210 51.956532,1.282591 51.966068,1.285980 51.968672,1.290398 51.971978,1.301625 51.966252,1.300109 51.965399,1.300043 51.964500,1.306977 51.962683,1.307184 51.962731,1.307985 51.963051,1.308380 51.963175,1.308530 51.963326,1.309171 51.964493,1.309543 51.964888,1.309845 51.965081,1.310657 51.965461,1.313307 51.966582,1.313588 51.966659,1.313857 51.966669,1.314647 51.967052,1.315342 51.967460,1.315802 51.967827,1.316018 51.968039,1.316339 51.968427,1.316720 51.969105,1.316974 51.969451,1.317251 51.969734,1.317561 51.969966,1.318179 51.970272,1.318751 51.970462,1.319845 51.970716,1.320664 51.970803,1.321038 51.970964,1.321332 51.971213,1.321902 51.971537,1.322159 51.971732,1.322605 51.972159,1.323344 51.972692,1.324659 51.973574,1.326838 51.972454,1.326219 51.971726,1.325996 51.971405,1.325101 51.970029,1.324620 51.969198,1.324148 51.968559,1.323683 51.967981,1.323464 51.967783,1.322724 51.966940,1.322583 51.966695,1.322288 51.966029,1.322210 51.965804,1.322206 51.965686,1.321861 51.965049,1.321680 51.964599,1.321498 51.963990,1.321442 51.963625,1.321478 51.963477,1.321440 51.962305,1.321505 51.961875,1.321898 51.960823,1.322342 51.959995,1.322949 51.959183,1.323380 51.958722,1.323936 51.958211,1.326116 51.956470,1.326725 51.956547,1.327251 51.956545,1.327573 51.956403,1.328239 51.955795,1.328638 51.955356,1.328952 51.955103,1.329261 51.954899,1.329778 51.954637)))",,Port of Felixstowe,,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-7
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11967988#11967988,,2021-06-23,employment-allocation:SCLP12.8,"MULTIPOLYGON (((1.346690 51.966835,1.347954 51.966807,1.348472 51.966766,1.349263 51.966646,1.349267 51.966482,1.346176 51.966445,1.346480 51.966834,1.346690 51.966835)))",,"Land at Bridge Road, Felixstowe",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-8
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968020#11968020,,2021-06-23,employment-allocation:SCLP12.9,"MULTIPOLYGON (((1.330133 51.948146,1.329404 51.948034,1.324843 51.947733,1.325019 51.948034,1.325231 51.948276,1.325484 51.948460,1.325976 51.948680,1.326479 51.948797,1.328212 51.949005,1.329007 51.949177,1.330040 51.949523,1.330711 51.949853,1.331247 51.950177,1.331749 51.950604,1.333898 51.952981,1.333919 51.952999,1.334132 51.952923,1.333109 51.951816,1.334719 51.951260,1.334770 51.951218,1.332813 51.949027,1.332452 51.948829,1.331683 51.948546,1.330893 51.948316,1.330133 51.948146)))",,"Land at Carr Road/Langer Road, Felixstowe",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-9
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968052#11968052,,2021-06-23,employment-allocation:SCLP12.10,"MULTIPOLYGON (((1.329397 51.954841,1.328679 51.955394,1.327691 51.956336,1.327682 51.956466,1.327757 51.956585,1.328081 51.956687,1.329328 51.956783,1.331768 51.957063,1.332164 51.957070,1.332467 51.957174,1.332949 51.957275,1.334167 51.957452,1.333717 51.956272,1.332347 51.956241,1.331052 51.956315,1.330645 51.956249,1.330433 51.956146,1.330278 51.956011,1.330016 51.955642,1.329925 51.955379,1.329930 51.954930,1.329863 51.954775,1.329721 51.954662,1.329397 51.954841)))",,"Land at Haven Exchange, Felixstowe",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-10
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968372#11968372,,2021-06-23,employment-allocation:SCLP12.21,"MULTIPOLYGON (((1.224848 52.029032,1.226449 52.028463,1.227272 52.028205,1.231494 52.027048,1.232926 52.026627,1.234308 52.026131,1.235987 52.025423,1.235432 52.025209,1.234489 52.024952,1.232718 52.024590,1.231746 52.024455,1.230918 52.024392,1.229610 52.024376,1.228831 52.024422,1.227281 52.024605,1.226020 52.024829,1.224834 52.025098,1.223642 52.025313,1.221180 52.025671,1.223664 52.029457,1.224848 52.029032)))",,"Ransomes, Nacton Heath",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-21
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968788#11968788,,2021-06-23,employment-allocation:SCLP12.35,"MULTIPOLYGON (((1.265031 52.143247,1.264564 52.144526,1.264280 52.145130,1.264200 52.145294,1.263818 52.145734,1.264852 52.146022,1.265842 52.146360,1.265359 52.146049,1.266582 52.144842,1.266444 52.144789,1.266924 52.143487,1.272596 52.141069,1.272091 52.140612,1.269643 52.141642,1.269662 52.141657,1.267148 52.142751,1.266867 52.142443,1.267040 52.142190,1.267306 52.141428,1.267244 52.141422,1.268406 52.138115,1.267459 52.138004,1.265649 52.143099,1.265031 52.143247)))",,"Former airfield, Debach",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-35
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968820#11968820,,2021-06-23,employment-allocation:SCLP12.36,"MULTIPOLYGON (((1.491805 52.225488,1.492774 52.225312,1.492825 52.224823,1.492762 52.224788,1.493575 52.224639,1.493108 52.222944,1.492997 52.222634,1.492895 52.222645,1.492457 52.222835,1.492031 52.222745,1.490313 52.223018,1.489825 52.223171,1.489216 52.223429,1.488508 52.223827,1.488536 52.223868,1.489238 52.224147,1.489348 52.224531,1.489186 52.224540,1.489730 52.225336,1.489769 52.225475,1.489431 52.225567,1.489448 52.225632,1.491001 52.225632,1.491805 52.225488)))",,"Carlton Park, Main Road, Kelsale cum Carlton",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-36
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968852#11968852,,2021-06-23,employment-allocation:SCLP12.37,"MULTIPOLYGON (((1.258795 52.012445,1.259638 52.012504,1.260375 52.012856,1.261072 52.013118,1.261725 52.012587,1.261885 52.012246,1.262511 52.012273,1.262674 52.011582,1.262759 52.011399,1.260445 52.011054,1.259163 52.010902,1.258795 52.012445)))",,"Levington Park, Levington",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-37
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968884#11968884,,2021-06-23,employment-allocation:SCLP12.38,"MULTIPOLYGON (((1.388790 52.191286,1.389505 52.190968,1.390120 52.190566,1.391131 52.190159,1.392287 52.189802,1.391369 52.189149,1.390852 52.189387,1.390893 52.189558,1.389993 52.189726,1.390267 52.190095,1.390360 52.190152,1.389994 52.190274,1.389576 52.190063,1.388100 52.190767,1.388068 52.191087,1.388423 52.191494,1.388549 52.191501,1.388641 52.191367,1.388790 52.191286)))",,"Land at Silverlace Green (former airfield), Parham",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-38
,https://eastsuffolk.inconsult.uk/consult.ti/suffolkcoastallocalplan2020/viewCompoundDoc?docid=11955764&partid=11968884#11968884,,2021-06-23,employment-allocation:SCLP12.39,"MULTIPOLYGON (((1.400644 52.194931,1.401157 52.195427,1.402444 52.195563,1.403311 52.193545,1.403416 52.193097,1.403227 52.193122,1.402738 52.193085,1.402593 52.193105,1.402484 52.193186,1.401553 52.191985,1.400649 52.192349,1.399881 52.192514,1.400618 52.193223,1.400349 52.193315,1.400650 52.193611,1.399997 52.193904,1.400567 52.194483,1.400297 52.194598,1.400644 52.194931)))",,"Former airfield, Parham",,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/SCLP12-39
