categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11493140#11493140,,2021-06-23,employment-allocation:WLP2.17,"MULTIPOLYGON (((1.718578 52.443944,1.718602 52.443943,1.718631 52.444865,1.722283 52.444730,1.722202 52.443828,1.722381 52.443405,1.721482 52.443476,1.721439 52.443286,1.721301 52.443297,1.720639 52.443148,1.720457 52.443182,1.720318 52.443115,1.720306 52.443032,1.720814 52.442228,1.720898 52.442239,1.720933 52.442106,1.721223 52.442105,1.721277 52.441926,1.721267 52.441773,1.720851 52.441676,1.719683 52.441227,1.718821 52.442342,1.717914 52.442129,1.718729 52.440968,1.717905 52.440755,1.717477 52.441472,1.716710 52.441330,1.716437 52.441762,1.715295 52.441528,1.715624 52.440990,1.714446 52.440728,1.714792 52.440188,1.714001 52.440043,1.713881 52.440036,1.713757 52.440095,1.712746 52.440668,1.711777 52.441566,1.711765 52.441603,1.712926 52.441974,1.713681 52.444159,1.718578 52.443944)))",,,,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/WLP2-17
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11493204#11493204,,2021-06-23,employment-allocation:WLP2.18,"MULTIPOLYGON (((1.711265 52.487924,1.712672 52.488019,1.713096 52.486954,1.712955 52.486931,1.713395 52.485813,1.711543 52.485646,1.711265 52.487924)))",,,,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/WLP2-18
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11493684#11493684,,2021-06-23,employment-allocation:WLP3.3,"MULTIPOLYGON (((1.596593 52.436944,1.597193 52.436879,1.597375 52.436887,1.598436 52.437346,1.598577 52.437528,1.598634 52.437915,1.598823 52.438003,1.602148 52.437136,1.603645 52.436634,1.602130 52.435447,1.594264 52.435424,1.591793 52.435523,1.592240 52.436409,1.592477 52.437103,1.593197 52.437022,1.593887 52.436546,1.594872 52.436253,1.596476 52.436957,1.596593 52.436944)))",,,,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/WLP3-3
,https://eastsuffolk.inconsult.uk/consult.ti/eastsuffolkwaveneylocalplan/viewCompoundDoc?docid=11491476&partid=11494196#11494196,,2021-06-23,employment-allocation:WLP4.6,"MULTIPOLYGON (((1.509581 52.356662,1.509293 52.358730,1.510643 52.358986,1.511096 52.357580,1.511240 52.357221,1.511354 52.356745,1.509581 52.356662)))",,,,local-authority-eng:ESK,,,,/employment-allocation/employment-allocation/WLP4-6
