pipeline,resource,pattern,value
employment-allocation,,WKT,geometry
employment-allocation,,Location,name
employment-allocation,,Policy,geography
employment-allocation,,Link_to_Po,documentation-url
employment-allocation,,Policy_Num,geography
employment-allocation,,Site Address,name
employment-allocation,,Link to Policy,geography
