attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,employment-allocation,,,,local-authority-eng:BLA,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BMH,employment-allocation,2021-09-03T15:46:51.730Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:BNE,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BNH,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BNS,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BOL,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BOS,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BOT,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BPC,employment-allocation,2021-09-03T15:46:51.730Z,,
,employment-allocation,,,,local-authority-eng:BPL,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRA,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRC,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRD,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRE,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRM,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRO,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRT,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRW,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRX,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BRY,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BST,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BUC,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BUN,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:BUR,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CAB,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CAN,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CAR,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CAS,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CAT,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CBF,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHA,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHC,employment-allocation,2021-09-03T15:46:51.731Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:CHE,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHI,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHL,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHN,employment-allocation,2021-09-03T15:46:51.731Z,,2020-03-31
,employment-allocation,,,,local-authority-eng:CHO,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHR,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHS,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHT,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CHW,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CLD,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CMD,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:COL,employment-allocation,2021-09-03T15:46:51.731Z,,
,employment-allocation,,,,local-authority-eng:CON,employment-allocation,2021-09-03T15:46:51.731Z,,
